date,Action,Adventure,Comedy,Drama,Horror,Thriller/Suspense
200601,0.152123266,0.231897117,0.274551759,0.230195165,0.111232693,0
200602,0.076488629,0.344048856,0.239366673,0.132611095,0.156460794,0.051023953
200603,0.183583917,0.28309632,0.225793837,0.100863365,0.115545368,0.091117193
200604,0.06912678,0.223196677,0.331895373,0.211192565,0.101816696,0.062771908
200605,0.33740223,0.25113156,0.097114661,0.083424443,0.061259881,0.169667225
200606,0.089090967,0.390980322,0.330171379,0.119996369,0.069760962,0
200607,0.097908294,0.476227376,0.275705118,0.077452544,0.036131284,0.036575383
200608,0.059640152,0.16902532,0.319802,0.333767449,0.062333459,0.05543162
200609,0.175592066,0.218874432,0.158551938,0.317386614,0.052127904,0.077467046
200610,0.086221794,0.098864644,0.194866682,0.357115201,0.205694998,0.05723668
200611,0.18180888,0.345312581,0.275003969,0.10376408,0.038445723,0.055664767
200612,0.120049145,0.295024627,0.081759931,0.40701441,0.067666753,0.028485133
200701,0.123740094,0.318944727,0.204136786,0.191980025,0.066865625,0.094332743
200702,0.137269452,0.292481698,0.205638771,0.204685842,0.059238016,0.100686221
200703,0.14904711,0.273837966,0.218436831,0.208181929,0.053159816,0.097336347
200704,0.15660232,0.264322705,0.210894544,0.200216098,0.054090889,0.113873443
200705,0.110612068,0.343727895,0.206109261,0.200716398,0.052519264,0.086315116
200706,0.135813929,0.337268102,0.177799426,0.198248773,0.057250071,0.093619699
200707,0.164926084,0.328983243,0.163107844,0.197147843,0.057129702,0.088705284
200708,0.181937909,0.325399576,0.159969208,0.164650979,0.060299427,0.107742901
200709,0.181934797,0.319941721,0.174104021,0.153849519,0.066978812,0.103191131
200710,0.184416966,0.329929176,0.178637481,0.144196106,0.062238914,0.100581357
200711,0.180544457,0.318471365,0.165360368,0.173474032,0.066897393,0.095252384
200712,0.164663292,0.328727356,0.187249947,0.131861634,0.10105389,0.086443882
200801,0.177345774,0.323156046,0.186792377,0.118407774,0.107504611,0.086793418
200802,0.163176543,0.346326345,0.185119667,0.115301571,0.103191608,0.086884265
200803,0.140927194,0.375798607,0.170934499,0.110533595,0.110580686,0.091225419
200804,0.140681018,0.379345986,0.17052237,0.109523854,0.125375697,0.074551075
200805,0.146402845,0.358232864,0.187756156,0.104489206,0.122390547,0.080728382
200806,0.128672406,0.374564171,0.203713461,0.102033026,0.11033583,0.080681106
200807,0.185625547,0.330505574,0.197130485,0.100049345,0.107902029,0.078787019
200808,0.174779883,0.344563448,0.209717735,0.102805332,0.113223286,0.054910317
200809,0.167438622,0.343561001,0.203612919,0.105503204,0.106888145,0.07299611
200810,0.165209001,0.338808653,0.19262909,0.101411074,0.124789951,0.077152231
