,inflation,S&Pyield,unemployment,UMCSENT,homeindex,UMCSENT
200001,0.0,-0.6108425849923425,4.0,111.3,0.0646,111.3
200002,0.0688018979833922,-0.24129699913269942,4.1,107.1,0.0646,107.1
200003,0.09671712207587913,1.1606379392367883,4.0,109.2,0.0646,109.2
200004,0.009360374414979056,-0.36954906662317644,3.8,110.7,0.0666,110.7
200005,0.009353078721745511,-0.262980606155923,4.0,106.4,0.0666,106.4
200006,0.06775700934579465,0.28720259530681513,4.0,108.3,0.0666,108.3
200007,0.023233301064860434,-0.19609531466127272,4.0,107.3,0.067,107.3
200008,0.002318840579711434,0.7283892622108326,4.1,106.8,0.067,106.8
200009,0.06259659969088016,-0.6417956969473351,3.9,105.8,0.067,105.8
200010,0.020757255429562527,-0.05939383046833058,3.9,107.6,0.0695,107.6
200011,0.0069071373752880305,-0.9608233195328388,3.9,98.4,0.0695,98.4
200012,-0.009204218600190828,0.04864134635037409,3.9,94.7,0.0695,94.7
200101,0.07829591249280199,0.415638925035954,4.2,90.6,0.0703,90.6
200102,0.05033365109628196,-1.1074888301880006,4.2,91.5,0.0703,91.5
200103,0.02961837858363303,-0.7704565264907459,4.3,88.4,0.0703,88.4
200104,0.043181818181818876,0.9217723411081176,4.4,92.0,0.0696,92.0
200105,0.05208529911304183,0.0610822454357951,4.3,92.6,0.0696,92.6
200106,0.02480270574971488,-0.30042466931800194,4.5,92.4,0.0696,92.4
200107,-0.03825239077442122,-0.12888180087520995,4.6,91.5,0.069,91.5
200108,0.004514672686228849,-0.769300878764577,4.9,81.8,0.069,81.8
200109,0.04964272282813109,-0.9806808722365941,5.0,82.7,0.069,82.7
200110,-0.040449438202246224,0.21718933734333312,5.3,83.9,0.0672,83.9
200111,-0.020293122886134718,0.9021108511566425,5.5,88.8,0.0672,88.8
200112,-0.047430830039524086,0.09088601031498822,5.7,93.0,0.0672,93.0
200201,0.031746031746030745,-0.18688599071753131,5.7,90.7,0.0654,90.7
200202,0.047493403693932734,-0.249194535666724,5.7,95.7,0.0654,95.7
200203,0.06307490144546435,0.44086672342606903,5.7,93.0,0.0654,93.0
200204,0.06946778711484569,-0.7370115139096791,5.9,96.9,0.0677,96.9
200205,-0.002227998514667817,-0.1089777729125454,5.8,92.4,0.0677,92.4
200206,0.008913649025069859,-0.869464253010884,5.8,88.1,0.0677,88.1
200207,0.013360549267026123,-0.9480512995935046,5.8,87.6,0.0718,87.6
200208,0.03781278962001888,0.05857719696023178,5.7,86.1,0.0718,86.1
200209,0.019955654101996068,-1.3202918191382285,5.7,80.6,0.0718,80.6
200210,0.024349750968456263,1.0373856122017182,5.7,84.2,0.0764,84.2
200211,-0.0022091310751104487,0.6848354510834174,5.9,86.7,0.0764,86.7
200212,-0.026514454060026615,-0.7239908720914885,6.0,82.4,0.0764,82.4
200301,0.05093190625576849,-0.3289763107194279,5.8,79.9,0.0775,79.9
200302,0.09481808158765137,-0.2040433020351511,5.9,77.6,0.0775,77.6
200303,0.07219690063810358,0.10029082279381729,5.9,86.0,0.0775,86.0
200304,-0.02827111272199989,0.9725292824727134,6.0,92.1,0.075,92.1
200305,-0.01743869209809157,0.6107845159701357,6.1,89.7,0.075,89.7
200306,0.01528106239767002,0.1358665743019376,6.3,90.9,0.075,90.9
200307,0.01090116279069786,0.19468442893791682,6.2,89.3,0.0756,89.3
200308,0.04574332909784129,0.2144784405175697,6.1,87.7,0.0756,87.7
200309,0.036889692585895695,-0.14333237424894119,6.1,89.6,0.0756,89.6
200310,-0.008653326122230354,0.6595378366081279,6.0,93.7,0.0784,93.7
200311,-0.034638282518490104,0.08554204617462524,5.8,92.6,0.0784,92.6
200312,-0.013026958567034619,0.6091864920148717,5.7,103.8,0.0784,103.8
200401,0.060858540119542504,0.2073166440733747,5.7,94.4,0.0832,94.4
200402,0.06487655433411543,0.14650767928307395,5.6,95.8,0.0832,95.8
200403,0.07743323176196437,-0.19630703057113497,5.8,94.2,0.0832,94.2
200404,0.03633125556545114,-0.2014890223475847,5.6,90.2,0.0929,90.2
200405,0.06818181818181746,0.14500140241572357,5.6,95.6,0.0929,95.6
200406,0.03813559322034088,0.21586798403034813,5.6,96.7,0.0929,96.7
200407,-0.014783526927139246,-0.4114862329428597,5.5,95.9,0.0994,95.9
200408,0.0021145374449336174,0.027448198086626796,5.4,94.2,0.0994,94.2
200409,0.023255813953488413,0.11236650829861805,5.4,91.7,0.0994,91.7
200410,0.06752241955336569,0.16817092303784342,5.5,92.8,0.1018,92.8
200411,0.006294806784405083,0.4631392343778282,5.4,97.1,0.1018,97.1
